file_name,start_time,duration,track_index
1.MP4,0,1.5,1
2,1.5,1.5,1
3,3,5,1
4,8,2,1
5.MP4,10,2,1
6.MP4,12,2,1
7,14,2,1
8.MP4,17,1,1
9.MP4,18,1,1
10,19,1,1
11.MP4,20,3,1
12.MP4,23,2,1
13,25,2,1
14-1.MP4,27,2,1
15,29,4,1
16.MP4,33,3,1
17.MP4,36,1,1
18,37,1,1
19.MP4,38,1,1
20.MP4,39,3,1
21.MP4,42,0.3333333333333333,1
22.MP4,42.333333333333336,0.3333333333333333,1
23.MP4,42.66666666666667,0.3333333333333286,1
24.MP4,43,1,1
25.MP4,44,1,1
26.MP4,45,1,1
27.MP4,46,2,1
28.MP4,48,3,1
29.MP4,51,2,1
30.MP4,53,3.3333333333333335,1
31,56.333333333333336,3.3333333333333335,1
32.MP4,59.66666666666667,3.3333333333333286,1
33.MP4,63,5,1
34-1.MP4,68,0.5,1
35-1.MP4,68.5,0.5,1
36-1.MP4,70,2,1
37,72,3,1
38.MP4,75,4,1
39,79,3,1
40-1.MP4,82,2,1
41,84,2,1
42.MP4,86,2,1
43.MP4,88,3,1
44.MP4,91,1,1
45.MP4,92,3,1
46.MP4,95,3,1
47-1.MP4,98,2,1
48-1.MP4,100,2,1
49.MP4,102,1,1
50.MP4,103,1,1
51-1.MP4,107,3,1
52.MP4,110,2,1
53.MP4,112,1.5,1
54.MP4,113.5,1.5,1
55-2.MP4,115,2,1
56,117,1,1
57,118,1,1
58.MP4,119,4,1
59.MP4,123,3,1
60-2.MP4,126,3,1
61,129,1,1
62,130,1,1
63.MP4,131,1,1
64.MP4,132,4,1
65-1.MP4,136,3,1
66.MP4,139,3,1
67,142,2,1
68,144,3.5,1
69,147.5,3.5,1
70,151,1,1
71,152,1,1
72,153,2,1
73-1.MP4,155,2,1
74,157,3,1
75-1.MP4,160,2,1
76,165,2,1
77-1.MP4,167,3,1
78.MP4,170,2.5,1
79,172.5,2.5,1
80,175,3,1
81.MP4,178,2,1
82.MP4,180,3,1
83-1.MP4,183,3,1
84,186,5,1
85-1.MP4,191,2.5,1
86.MP4,193.5,2.5,1
87,197,5,1
88,202,1,1
89,203,1,1
90,204,1,1
